DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop
2004-01-01,141.646,2004,1,52179,187687969.2,3.8,186.3,5.7,71.27880507,150,1,79.8,112000,65760,27.201,12.3
2004-02-01,143.192,2004,2,52275.66667,187875451.4,3.7,186.7,5.6,71.20973182,153.4,1.01,79.8,112000,65760,27.201,12.3
2004-03-01,145.059,2004,3,52372.33333,188057722,3.6,187.1,5.8,71.0497805,156.5,1,79.8,112000,65760,27.201,12.3
2004-04-01,146.593,2004,4,52469,188320169.7,4,187.4,5.6,71.1817589,160.1,1,79.8,112000,65760,27.201,12.3
2004-05-01,148.186,2004,5,52591,188475810.3,3.8,188.2,5.6,71.1320428,162.7,1,79.8,112000,65760,27.201,12.3
2004-06-01,149.85,2004,6,52713,188689461.4,3.9,188.9,5.6,71.10645004,162,1.03,79.8,112000,65760,27.201,12.3
2004-07-01,151.338,2004,7,52835,188840548.7,4.5,189.1,5.5,71.3041418,162.2,1.26,79.8,112000,65760,27.201,12.3
2004-08-01,152.633,2004,8,52970.66667,189071375,4.3,189.2,5.4,71.26478443,165.9,1.43,79.8,112000,65760,27.201,12.3
2004-09-01,154.179,2004,9,53106.33333,189217846.5,4.1,189.8,5.4,71.15215909,167.2,1.61,79.8,112000,65760,27.201,12.3
2004-10-01,155.75,2004,10,53242,189444673,3.9,190.8,5.5,71.22420183,165.9,1.76,79.8,112000,65760,27.201,12.3
2004-11-01,157.527,2004,11,53401,189654575.5,4.3,191.7,5.4,71.36346368,165.5,1.93,79.8,112000,65760,27.201,12.3
2004-12-01,159.33,2004,12,53560,189810239.2,4.1,191.7,5.4,71.29992527,166.3,2.16,79.8,112000,65760,27.201,12.3
2005-01-01,161.288,2005,1,53719,189989658.1,4.4,191.6,5.3,71.31026752,168.6,2.28,79.9,113343,66780,27.651,12.4
2005-02-01,163.344,2005,2,53768.66667,190144268.6,4.3,192.4,5.4,71.22446248,170.4,2.5,79.9,113343,66780,27.651,12.4
2005-03-01,165.812,2005,3,53818.33333,190460460.1,4.1,193.1,5.2,71.26540653,170,2.63,79.9,113343,66780,27.651,12.4
2005-04-01,167.501,2005,4,53868,190466068.2,4.3,193.7,5.2,71.43664377,170,2.79,79.9,113343,66780,27.651,12.4
2005-05-01,169.351,2005,5,53963,190710241.8,4.2,193.6,5.1,71.52861591,168.1,3,79.9,113343,66780,27.651,12.4
2005-06-01,171.19,2005,6,54058,190962535,4.3,193.7,5,71.49436018,167.8,3.04,79.9,113343,66780,27.651,12.4
2005-07-01,172.86,2005,7,54153,191115008.9,4.2,194.9,5,71.62813054,167.2,3.26,79.9,113343,66780,27.651,12.4
2005-08-01,174.442,2005,8,54207.66667,191266347.3,4.5,196.1,4.9,71.82455723,165.9,3.5,79.9,113343,66780,27.651,12.4
2005-09-01,176.438,2005,9,54262.33333,191439119.3,4.7,198.8,5,71.6869796,168.9,3.62,79.9,113343,66780,27.651,12.4
2005-10-01,178.028,2005,10,54317,191655296.7,4.5,199.1,5,71.69383334,171.6,3.78,79.9,113343,66780,27.651,12.4
2005-11-01,179.68,2005,11,54520.33333,191932179,5,198.1,5,71.55741564,172.7,4,79.9,113343,66780,27.651,12.4
2005-12-01,180.91,2005,12,54723.66667,192145059,4.9,198.1,4.9,71.62729227,173.5,4.16,79.9,113343,66780,27.651,12.4
